# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30026942	tr|A0A267F3Z6|A0A267F3Z6_9PLAT	*-*	Dynein light chain		GO:0003774, GO:0005737, GO:0005856, GO:0005874, GO:0007017, GO:0030286
SMED30000335			Unknown protein		
SMED30002996	sp|Q5BKM4|VP26B_XENTR	***	Vacuolar protein sorting-associated protein 26B		GO:0005737, GO:0005768, GO:0005829, GO:0006886, GO:0015031, GO:0016020
SMED30026941			Unknown protein		
SMED30000332	sp|P11833|TBB_PARLI	***	Tubulin beta chain		GO:0000166, GO:0003924, GO:0005200, GO:0005525, GO:0005737, GO:0005856, GO:0005874, GO:0007010, GO:0007017
SMED30002995			Unknown protein		
SMED30026944	tr|A0A267F7U6|A0A267F7U6_9PLAT	***	Phospholipid-transporting ATPase		GO:0000166, GO:0000287, GO:0005524, GO:0015914, GO:0016020, GO:0016021, GO:0140326
SMED30000333			Unknown protein		
SMED30002994			Unknown protein		
SMED30026943			Unknown protein		
SMED30014982			Unknown protein		
SMED30014983			Unknown protein		
SMED30012321	sp|Q8AY73|XPO2_ORENI	***	Exportin-2		GO:0005634, GO:0005737, GO:0006886, GO:0008536, GO:0015031
SMED30014980	tr|A0A068YFE8|A0A068YFE8_ECHMU	***	Lamin		GO:0005882
SMED30012320			Unknown protein		
SMED30014981	tr|A0A1W6I1A3|A0A1W6I1A3_SCHMD	***	Gelsolin-like protein		GO:0051015
SMED30024309	tr|V3ZNV5|V3ZNV5_LOTGI	***	Isocitrate dehydrogenase [NADP]		GO:0000287, GO:0004450, GO:0006099, GO:0006102, GO:0016491, GO:0016616, GO:0046872, GO:0051287, GO:0055114
SMED30012327			Unknown protein		
SMED30012326			Unknown protein		
SMED30012329	tr|I1ZIA2|I1ZIA2_SCHMD	***	UDP-glucose 4-epimerase		GO:0003978, GO:0005975, GO:0006012, GO:0016853
SMED30014988	tr|G3W5X0|G3W5X0_SARHA	***	Dihydrouridine synthase 2		GO:0002943, GO:0003723, GO:0003725, GO:0003824, GO:0004860, GO:0005829, GO:0006469, GO:0008033, GO:0010181, GO:0017150, GO:0050660, GO:0055114, GO:0060548, GO:0070402
SMED30012328			Unknown protein		
SMED30014989	tr|A0A0D3QCH7|A0A0D3QCH7_ANOME	*-*	AGAP013516-RB		GO:0000165, GO:0000186, GO:0000287, GO:0004672, GO:0004709, GO:0005524, GO:0006468, GO:0007165
SMED30012323			Unknown protein		
SMED30014986			Unknown protein		
SMED30012322			Unknown protein		
SMED30014987			Unknown protein		
SMED30012325			Unknown protein		
SMED30014984			Unknown protein		
SMED30012324			Unknown protein		
SMED30014985			Unknown protein		
SMED30000341	tr|W5L8E5|W5L8E5_ASTMX	*-*	Guanylate cyclase		GO:0000166, GO:0004383, GO:0004672, GO:0005524, GO:0006182, GO:0006468, GO:0009190, GO:0016020, GO:0016021, GO:0016829, GO:0016849, GO:0035556
SMED30026971			Unknown protein		
SMED30000342			Unknown protein		
SMED30026970	tr|A0A095A366|A0A095A366_SCHHA	***	Transcription elongation factor 1 homolog		GO:0003746, GO:0005634, GO:0006414, GO:0046872
SMED30024310	tr|A0A2S7JBH8|A0A2S7JBH8_9BURK	***	3-demethoxyubiquinol 3-hydroxylase		GO:0004497, GO:0005886, GO:0006744, GO:0016020, GO:0016491, GO:0046872, GO:0055114
SMED30026973			Unknown protein		
SMED30000340			Unknown protein		
SMED30024311			Unknown protein		
SMED30026972			Unknown protein		
SMED30012319	tr|A0A504YM37|A0A504YM37_FASGI	*-*	Ubiquitin carboxyl-terminal hydrolase 40		GO:0006511, GO:0016579, GO:0016787, GO:0036459
SMED30000349			Unknown protein		
SMED30024316	tr|A0A182EA89|A0A182EA89_ONCOC	***	Ribokinase		GO:0000166, GO:0004747, GO:0005524, GO:0005634, GO:0005737, GO:0005975, GO:0006014, GO:0016301, GO:0016310, GO:0016740, GO:0019303, GO:0046835, GO:0046872
SMED30026979			Unknown protein		
SMED30024317	tr|A0A0F7GWW3|A0A0F7GWW3_SCHMD	*-*	TNF receptor associated factor 4		GO:0046872
SMED30026978			Unknown protein		
SMED30000347			Unknown protein		
SMED30024318			Unknown protein		
SMED30000348			Unknown protein		
SMED30024319	tr|A0A1W7RCP2|A0A1W7RCP2_AGKCO	*-*	SAM pointed domain-containing Ets transcription factor-like protein		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0042025, GO:0043565
SMED30000345	tr|A0A4E0RBN0|A0A4E0RBN0_FASHE	***	Phosphodiesterase		GO:0004114, GO:0007165, GO:0008081, GO:0016787, GO:0046872
SMED30024312			Unknown protein		
SMED30026975			Unknown protein		
SMED30000346	tr|A0A0F7CYH1|A0A0F7CYH1_SCHMD	***	Maf domain containing protein		GO:0003677, GO:0005634, GO:0006355
SMED30024313			Unknown protein		
SMED30026974			Unknown protein		
SMED30000343			Unknown protein		
SMED30024314			Unknown protein		
SMED30026977			Unknown protein		
SMED30000344			Unknown protein		
SMED30024315			Unknown protein		
SMED30026976			Unknown protein		
SMED30012330	tr|A0A3P9KXR9|A0A3P9KXR9_ORYLA	*-*	DUF4371 domain-containing protein		GO:0016020, GO:0016021
SMED30014993			Unknown protein		
SMED30014994			Unknown protein		
SMED30012332	tr|H9CXV3|H9CXV3_SCHMD	***	EGR-1		GO:0003676
SMED30014991			Unknown protein		
SMED30012331	tr|A0A419PUF7|A0A419PUF7_CLOSI	***	Syntaxin		GO:0005484, GO:0006886, GO:0016020, GO:0016192, GO:0061025
SMED30014992			Unknown protein		
SMED30014990			Unknown protein		
SMED30012338	tr|A0A4S2KQC3|A0A4S2KQC3_OPIFE	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30012337	tr|A0A1S3K267|A0A1S3K267_LINUN	***	Anoctamin		GO:0016020, GO:0016021, GO:0046983
SMED30014999	tr|A0A0P6EQN6|A0A0P6EQN6_9CRUS	***	Non-specific serine/threonine protein kinase		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30012339			Unknown protein		
SMED30012334			Unknown protein		
SMED30014997			Unknown protein		
SMED30012333			Unknown protein		
SMED30014998	tr|A0A2C9KFR6|A0A2C9KFR6_BIOGL	*-*	Kinesin-like protein		GO:0000166, GO:0003774, GO:0003777, GO:0005524, GO:0005874, GO:0007018, GO:0008017, GO:0008569
SMED30012336			Unknown protein		
SMED30014995	tr|A0A1W2WKM7|A0A1W2WKM7_CIOIN	*-*	transcription initiation factor TFIID subunit 12-like		GO:0000124, GO:0003743, GO:0005669, GO:0006352, GO:0006413, GO:0046695, GO:0046982
SMED30012335			Unknown protein		
SMED30014996			Unknown protein		
SMED30000352			Unknown protein		
SMED30026960			Unknown protein		
SMED30000353			Unknown protein		
SMED30000350	tr|A0A0A7NXM5|A0A0A7NXM5_SCHMD	***	Rapunzel		GO:0016020, GO:0016021
SMED30026962			Unknown protein		
SMED30000351	tr|A0A1S3HT33|A0A1S3HT33_LINUN	*-*	urea-proton symporter DUR3		GO:0015204, GO:0016020, GO:0016021, GO:0022857, GO:0055085, GO:0071918
SMED30024300	tr|A0A4C1X7C4|A0A4C1X7C4_EUMVA	*-*	BED-type domain-containing protein		GO:0003677
SMED30026961	tr|A0A521D0Q7|A0A521D0Q7_9FLAO	*-*	Histidine kinase		GO:0000155, GO:0000160, GO:0000166, GO:0004673, GO:0005524, GO:0006355, GO:0007165, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0018106, GO:0023014
SMED30024305			Unknown protein		
SMED30026968			Unknown protein		
SMED30024306	tr|A0A2C9JSS3|A0A2C9JSS3_BIOGL	***	Polypeptide N-acetylgalactosaminyltransferase		GO:0000139, GO:0005794, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0030246
SMED30026967	tr|A0A087U7U0|A0A087U7U0_STEMI	*-*	Zinc finger MYM-type protein 1		GO:0046983
SMED30000358			Unknown protein		
SMED30024307			Unknown protein		
SMED30000359			Unknown protein		
SMED30024308			Unknown protein		
SMED30026969	tr|K1PF44|K1PF44_CRAGI	*-*	Receptor-type tyrosine-protein phosphatase R		GO:0004721, GO:0004725, GO:0006470, GO:0016311, GO:0016787, GO:0016791, GO:0035335
SMED30000356			Unknown protein		
SMED30024301			Unknown protein		
SMED30026964	tr|F7EN19|F7EN19_MONDO	*-*	Myosin VIIA and Rab interacting protein		GO:0006886, GO:0017137, GO:0046872
SMED30000357	sp|Q6NVN0|SOX2_XENTR	*-*	Transcription factor Sox-2		GO:0003677, GO:0005634, GO:0006355, GO:0007275, GO:0007399, GO:0030154, GO:0043565, GO:0045893, GO:0045944
SMED30024302			Unknown protein		
SMED30026963	tr|A0A5B2UC47|A0A5B2UC47_9FLAO	***	1,4-alpha-glucan branching protein		GO:0003824, GO:0005975
SMED30000354			Unknown protein		
SMED30024303			Unknown protein		
SMED30026966			Unknown protein		
SMED30000355			Unknown protein		
SMED30024304			Unknown protein		
SMED30026965	tr|A0A5E4M3D6|A0A5E4M3D6_9HEMI	***	Transcriptional enhancer factor, metazoa,TEA/ATTS domain		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0035329
SMED30002902	tr|A0A0X3PU00|A0A0X3PU00_SCHSO	***	Triple functional domain protein		GO:0005085, GO:0005089, GO:0035023
SMED30002901	tr|A0A507EES7|A0A507EES7_9FUNG	***	Ubiquitin carboxyl-terminal hydrolase		GO:0006508, GO:0006511, GO:0008233, GO:0008234, GO:0016579, GO:0016787, GO:0036459
SMED30002900	tr|A0A291LM10|A0A291LM10_SCHMD	***	B-catenin 4		
SMED30002909			Unknown protein		
SMED30002908	tr|A0A0X3PUM4|A0A0X3PUM4_SCHSO	*-*	Cyclin-dependent kinase 12		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30002907			Unknown protein		
SMED30002906			Unknown protein		
SMED30002905			Unknown protein		
SMED30002904			Unknown protein		
SMED30002903	tr|A0A4Z2D9F5|A0A4Z2D9F5_SCHJA	*-*	Cyclic AMP-responsive element-binding protein 3-like protein		GO:0003700, GO:0006355
SMED30002913			Unknown protein		
SMED30002912			Unknown protein		
SMED30002911	tr|A0A4V3SDI7|A0A4V3SDI7_OPIFE	***	Lipase		GO:0006629, GO:0016042, GO:0016787, GO:0016788
SMED30002910	tr|A0A210Q7E8|A0A210Q7E8_MIZYE	***	Potassium voltage-gated channel protein Shaw		GO:0005216, GO:0005244, GO:0005249, GO:0005267, GO:0006811, GO:0006813, GO:0008076, GO:0016020, GO:0016021, GO:0034765, GO:0051260, GO:0055085, GO:0071805
SMED30002919	tr|A0A094ZRV6|A0A094ZRV6_SCHHA	***	AH receptor-interacting protein		GO:0000413, GO:0003755
SMED30002918	tr|W6UMB0|W6UMB0_ECHGR	***	Innexin		GO:0005886, GO:0005921, GO:0006811, GO:0016020, GO:0016021, GO:0030054
SMED30002917			Unknown protein		
SMED30002916			Unknown protein		
SMED30002915			Unknown protein		
SMED30002914	sp|Q640K3|NCKP1_XENLA	***	Nck-associated protein 1		GO:0005886, GO:0016020, GO:0016021, GO:0031258, GO:0042995
SMED30014902			Unknown protein		
SMED30014903			Unknown protein		
SMED30014900	tr|T1I3J9|T1I3J9_RHOPR	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30014901	tr|A0A139W8P0|A0A139W8P0_TRICA	***	ATP-binding cassette sub-family A member 3-like Protein		GO:0000166, GO:0005524, GO:0016020, GO:0016021, GO:0016887, GO:0042626, GO:0055085
SMED30002924			Unknown protein		
SMED30002923			Unknown protein		
SMED30002922			Unknown protein		
SMED30002921	tr|A0A2S2N8A8|A0A2S2N8A8_SCHGA	*-*	CCHC-type domain-containing protein		GO:0003676, GO:0004190, GO:0006508, GO:0008270
SMED30002920			Unknown protein		
SMED30002929			Unknown protein		
SMED30002928			Unknown protein		
SMED30002927	tr|K1RET5|K1RET5_CRAGI	***	SAM domain-containing protein		
SMED30002926			Unknown protein		
SMED30002925	tr|G7YGH8|G7YGH8_CLOSI	*-*	Alpha-2-macroglobulin-like protein 1		GO:0004866, GO:0005576, GO:0005615, GO:0010951
SMED30014913			Unknown protein		
SMED30014914	tr|A0A4W5RXS3|A0A4W5RXS3_9TELE	***	Component of oligomeric golgi complex 2		GO:0007030, GO:0015031, GO:0016020
SMED30014911	tr|A0A504Z421|A0A504Z421_FASGI	***	2-oxoglutarate dehydrogenase mitochondrial		GO:0004591, GO:0006099, GO:0016624, GO:0030976, GO:0055114
SMED30014912			Unknown protein		
SMED30014910			Unknown protein		
SMED30014908	tr|A0A0H3YFD5|A0A0H3YFD5_SCHMD	*-*	Slc46a-3		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30014909			Unknown protein		
SMED30014906			Unknown protein		
SMED30014907	tr|A0A0X3NTN2|A0A0X3NTN2_SCHSO	*-*	UPF0489 protein C5orf22 homolog		
SMED30014904	tr|D5JG61|D5JG61_DUGJA	***	Eukaryotic translation initiation factor 5A		GO:0003723, GO:0003743, GO:0003746, GO:0006412, GO:0006413, GO:0006452, GO:0043022, GO:0045901, GO:0045905
SMED30014905			Unknown protein		
SMED30002935			Unknown protein		
SMED30002934	tr|K7XGV5|K7XGV5_SCHMD	*-*	Forkhead box J1-like protein 4		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0043565
SMED30002933			Unknown protein		
SMED30002932			Unknown protein		
SMED30002931			Unknown protein		
SMED30002930			Unknown protein		
SMED30012462			Unknown protein		
SMED30012461	tr|A0A0V1KQ12|A0A0V1KQ12_9BILA	*-*	Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM		GO:0006508, GO:0008234
SMED30012464			Unknown protein		
SMED30012463			Unknown protein		
SMED30012460			Unknown protein		
SMED30012469			Unknown protein		
SMED30012466			Unknown protein		
SMED30012465			Unknown protein		
SMED30012468	tr|A0A074ZVL2|A0A074ZVL2_9TREM	*-*	TPR_MLP1_2 domain-containing protein		GO:0006606
SMED30012467			Unknown protein		
SMED30000484			Unknown protein		
SMED30024451			Unknown protein		
SMED30000485			Unknown protein		
SMED30024452			Unknown protein		
SMED30000482	tr|A0A183SWQ3|A0A183SWQ3_SCHSO	*-*	Sec16_C domain-containing protein		GO:0000139, GO:0048208
SMED30024453	tr|A0A498LLT0|A0A498LLT0_LABRO	***	Muscarinic acetylcholine receptor		GO:0004930, GO:0005886, GO:0005887, GO:0007165, GO:0007186, GO:0007213, GO:0016020, GO:0016021, GO:0016907, GO:0030054, GO:0045202, GO:0045211
SMED30000483	tr|A0A1U7QKF5|A0A1U7QKF5_MESAU	***	serine/threonine-protein kinase 33		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30024454	tr|A0A1S3KHL1|A0A1S3KHL1_LINUN	***	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase		GO:0003824, GO:0008033, GO:0010181, GO:0016020, GO:0016021, GO:0051536, GO:0051539, GO:0055114
SMED30000480			Unknown protein		
SMED30000481			Unknown protein		
SMED30024450	tr|A0A074ZV90|A0A074ZV90_9TREM	*-*	Brix domain-containing protein		
SMED30024459	tr|A0A521BIT0|A0A521BIT0_9FLAO	***	Cysteine synthase		GO:0004124, GO:0006535, GO:0008652, GO:0016740, GO:0019344
SMED30000488	tr|K1S333|K1S333_CRAGI	***	Double C2-like domain-containing protein beta		GO:0006886, GO:0016020, GO:0017137, GO:0046872
SMED30024455	sp|Q6GL68|TF7L1_XENTR	*-*	Transcription factor 7-like 1		GO:0003677, GO:0005634, GO:0005667, GO:0006357, GO:0007275, GO:0008013, GO:0008134, GO:0016055, GO:0060070
SMED30000489			Unknown protein		
SMED30024456	tr|V5GGT4|V5GGT4_ANOGL	*-*	DNA_pol_B_2 domain-containing protein		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30000486			Unknown protein		
SMED30024457	tr|A0A4E0RXI7|A0A4E0RXI7_FASHE	*-*	Guanine nucleotide exchange factor		GO:0005085
SMED30000487	tr|A0A2B4RH85|A0A2B4RH85_STYPI	*-*	Collagen alpha-4(VI) chain		GO:0005576, GO:0005581, GO:0010466, GO:0030414
SMED30024458			Unknown protein		
SMED30012473			Unknown protein		
SMED30012472			Unknown protein		
SMED30012475	tr|A0A3B3XLU7|A0A3B3XLU7_9TELE	*-*	PPFIA binding protein 1b		
SMED30012474			Unknown protein		
SMED30012471	tr|A0A2S9CP90|A0A2S9CP90_9FLAO	***	Multidrug transporter		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30012470			Unknown protein		
SMED30012477			Unknown protein		
SMED30012476	tr|E2AVJ2|E2AVJ2_CAMFO	*-*	Charged multivesicular body protein 5		GO:0007034
SMED30012479			Unknown protein		
SMED30012478			Unknown protein		
SMED30000495			Unknown protein		
SMED30024440			Unknown protein		
SMED30000496			Unknown protein		
SMED30024441			Unknown protein		
SMED30000493			Unknown protein		
SMED30024442	tr|A0A3Q0KR06|A0A3Q0KR06_SCHMA	***	Serine/threonine kinase		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740, GO:0035556, GO:0046872
SMED30000494	tr|C1L833|C1L833_SCHJA	***	Ubiquitin thioesterase		GO:0004843, GO:0005634, GO:0006508, GO:0008233, GO:0008234, GO:0016579, GO:0016787, GO:0019784, GO:0036459, GO:0043130, GO:0071108
SMED30024443			Unknown protein		
SMED30000491	tr|A0A210QS65|A0A210QS65_MIZYE	*-*	Cornifelin-like A		GO:0016020, GO:0016021
SMED30000492	tr|K1QNQ5|K1QNQ5_CRAGI	***	Double-stranded RNA-specific editase 1		GO:0003723, GO:0004000, GO:0006396
SMED30000490			Unknown protein		
SMED30024448			Unknown protein		
SMED30024449	tr|A0A3D9DQ28|A0A3D9DQ28_9FLAO	***	Glycoside hydrolase family 28 protein		GO:0004650, GO:0005975, GO:0008152, GO:0016787, GO:0016798
SMED30000499	tr|A0A2H5RCL5|A0A2H5RCL5_RHIID	*-*	Gastrula zinc finger protein xlcgf46.1		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30024444	tr|A0A1W2W756|A0A1W2W756_CIOIN	*-*	coiled-coil domain-containing protein 42 homolog		
SMED30024445			Unknown protein		
SMED30000497			Unknown protein		
SMED30024446	tr|A0A4S2LAG9|A0A4S2LAG9_OPIFE	***	Guanylate cyclase		GO:0000166, GO:0004383, GO:0004672, GO:0004713, GO:0005524, GO:0006182, GO:0006468, GO:0016020, GO:0016021, GO:0016829, GO:0018108
SMED30000498			Unknown protein		
SMED30024447			Unknown protein		
SMED30012484			Unknown protein		
SMED30012483			Unknown protein		
SMED30012486			Unknown protein		
SMED30012485	tr|A0A0B7AVD3|A0A0B7AVD3_9EUPU	***	Mannosyltransferase		GO:0000030, GO:0005783, GO:0005789, GO:0016020, GO:0016021, GO:0016757, GO:0097502
SMED30012480			Unknown protein		
SMED30012482	tr|A0A0H3YKK5|A0A0H3YKK5_SCHMD	*-*	Multidrug and toxin extrusion protein		GO:0015297, GO:0016020, GO:0016021, GO:0042908, GO:0042910, GO:0055085
SMED30012481			Unknown protein		
SMED30012488			Unknown protein		
SMED30012487			Unknown protein		
SMED30012489			Unknown protein		
SMED30024473	sp|Q5R1W7|ECHB_PANTR	***	Trifunctional enzyme subunit beta, mitochondrial		GO:0003824, GO:0003988, GO:0005739, GO:0005741, GO:0005743, GO:0005783, GO:0006629, GO:0006631, GO:0006635, GO:0016020, GO:0016740, GO:0016746, GO:0016747, GO:0042645, GO:0050633
SMED30024474	tr|A0A5C6MS63|A0A5C6MS63_9TELE	***	TELO2-interacting protein 1-like protein		
SMED30024475	tr|G3PXY9|G3PXY9_GASAC	*-*	Si:ch211-106h4.9		GO:0006886, GO:0017137, GO:0046872
SMED30024476			Unknown protein		
SMED30024470			Unknown protein		
SMED30024471	tr|A0A2S2Q416|A0A2S2Q416_9HEMI	*-*	TATA box-binding protein-like protein 1		GO:0003677, GO:0006352
SMED30024472			Unknown protein		
SMED30024477	tr|A0A4E0RFY7|A0A4E0RFY7_FASHE	***	Cell wall integrity and stress response component 1		GO:0016020, GO:0016021
SMED30024478			Unknown protein		
SMED30024479			Unknown protein		
SMED30012495			Unknown protein		
SMED30012494			Unknown protein		
SMED30012497			Unknown protein		
SMED30012496			Unknown protein		
SMED30012491			Unknown protein		
SMED30012490			Unknown protein		
SMED30012493	tr|A0A4Z2DIM4|A0A4Z2DIM4_SCHJA	***	Plastin-2		GO:0003779, GO:0051015, GO:0051017
SMED30012492			Unknown protein		
SMED30012499	tr|B0WUQ2|B0WUQ2_CULQU	*-*	Transcription initiation factor TFIID subunit 10		GO:0003743, GO:0005634, GO:0006352, GO:0006413
SMED30012498			Unknown protein		
SMED30024462			Unknown protein		
SMED30024463			Unknown protein		
SMED30024464	tr|A0A5B2TLY8|A0A5B2TLY8_9FLAO	***	NADP-dependent malic enzyme		GO:0004470, GO:0004471, GO:0006108, GO:0016746, GO:0046872, GO:0051287, GO:0055114
SMED30024465	tr|A0A3R7D2Z2|A0A3R7D2Z2_CLOSI	*-*	Acid-sensing ion channel 4		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0016021, GO:0035725
SMED30024460			Unknown protein		
SMED30024461			Unknown protein		
SMED30024466			Unknown protein		
SMED30024467			Unknown protein		
SMED30024468			Unknown protein		
SMED30024469			Unknown protein		
SMED30024490			Unknown protein		
SMED30024495	tr|A0A1I8JFL3|A0A1I8JFL3_9PLAT	*-*	Reverse transcriptase domain-containing protein		GO:0003677, GO:0006310, GO:0015074
SMED30024496			Unknown protein		
SMED30024497			Unknown protein		
SMED30024498			Unknown protein		
SMED30024491			Unknown protein		
SMED30024492	tr|A0A099Z3U9|A0A099Z3U9_TINGU	***	TRMT1-like		GO:0000049, GO:0003676, GO:0003723, GO:0004809, GO:0008033, GO:0008168, GO:0016740, GO:0030488, GO:0032259
SMED30024493	tr|H3B7S8|H3B7S8_LATCH	*-*	TNF receptor-associated factor		GO:0005164, GO:0005737, GO:0005829, GO:0007165, GO:0008270, GO:0033209, GO:0042981, GO:0046872
SMED30024494	tr|A0A0H3YJ12|A0A0H3YJ12_SCHMD	***	Slc16a-26		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30024499			Unknown protein		
SMED30024484			Unknown protein		
SMED30024485			Unknown protein		
SMED30024486	tr|A0A1I8I3V7|A0A1I8I3V7_9PLAT	***	Polyadenylate-binding protein		GO:0003676, GO:0003723, GO:0005737
SMED30024487			Unknown protein		
SMED30024480	tr|A0A068WN68|A0A068WN68_ECHGR	***	General transcription factor iih subunit 1		GO:0000439, GO:0006289, GO:0006351
SMED30024481			Unknown protein		
SMED30024482			Unknown protein		
SMED30024483	tr|A0A2D4J8C1|A0A2D4J8C1_MICLE	*-*	KRAB domain-containing protein		GO:0003676, GO:0006355
SMED30024488			Unknown protein		
SMED30024489	tr|A0A1S3JE92|A0A1S3JE92_LINUN	***	Cytoplasmic tRNA 2-thiolation protein 2		GO:0000049, GO:0002098, GO:0005737, GO:0008033, GO:0016779, GO:0032447, GO:0034227
SMED30000404			Unknown protein		
SMED30000405	tr|A0A1S3H4Y2|A0A1S3H4Y2_LINUN	***	protein JTB		GO:0016020, GO:0016021
SMED30000402			Unknown protein		
SMED30000403	tr|A0A4E0S187|A0A4E0S187_FASHE	***	Protein SCAI		GO:0003714, GO:0006351, GO:1903507
SMED30000400	sp|P36220|TBA_TORMA	***	Tubulin alpha chain		GO:0000166, GO:0003924, GO:0005200, GO:0005525, GO:0005737, GO:0005856, GO:0005874, GO:0007010, GO:0007017
SMED30000401			Unknown protein		
SMED30000408			Unknown protein		
SMED30000409	tr|U5YQE6|U5YQE6_SCHMD	***	Mitfl-2 protein		GO:0046983
SMED30000406			Unknown protein		
SMED30000407			Unknown protein		
SMED30000415			Unknown protein		
SMED30000416	tr|A0A194PE21|A0A194PE21_PAPXU	*-*	Chromatin-remodeling complex ATPase chain Iswi		GO:0003676, GO:0003677, GO:0005524, GO:0005634, GO:0006338, GO:0016589, GO:0016818, GO:0016887, GO:0031491, GO:0043044
SMED30000413			Unknown protein		
SMED30000414			Unknown protein		
SMED30000411	tr|A0A094ZKG0|A0A094ZKG0_SCHHA	***	Dynamin-1		GO:0000166, GO:0003924, GO:0005525
SMED30000412	tr|A0A4Y2BW18|A0A4Y2BW18_ARAVE	*-*	Synaptotagmin-4		GO:0016020, GO:0016021
SMED30000410			Unknown protein		
SMED30000419	tr|H2DL17|H2DL17_SCHMD	***	Bok-1		GO:0016020, GO:0016021, GO:0042981
SMED30000417			Unknown protein		
SMED30000418	tr|A0A504ZC60|A0A504ZC60_FASGI	***	E3 ubiquitin-protein ligase		GO:0008270, GO:0016567, GO:0016740, GO:0046872, GO:0061630, GO:0071596
SMED30012404	tr|A0A4Y2GE57|A0A4Y2GE57_ARAVE	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0004190, GO:0006508
SMED30012403			Unknown protein		
SMED30012406	tr|A0A151NX22|A0A151NX22_ALLMI	***	DNA repair protein REV1		GO:0003677, GO:0003684, GO:0005634, GO:0006281, GO:0006974, GO:0016740, GO:0016779, GO:0042276, GO:0071897
SMED30012405			Unknown protein		
SMED30012400			Unknown protein		
SMED30012402	sp|O48920|ARF_VIGUN	***	ADP-ribosylation factor		GO:0000166, GO:0005525, GO:0005794, GO:0015031, GO:0016192
SMED30012401			Unknown protein		
SMED30000426			Unknown protein		
SMED30000427			Unknown protein		
SMED30000424			Unknown protein		
SMED30000425			Unknown protein		
SMED30000422	tr|A0A1Y1LL21|A0A1Y1LL21_PHOPY	*-*	DNA_pol_B_2 domain-containing protein		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30000423			Unknown protein		
SMED30000420			Unknown protein		
SMED30000421	tr|R7TR96|R7TR96_CAPTE	***	TPR_REGION domain-containing protein		
SMED30000428	tr|A0A0L7RG43|A0A0L7RG43_9HYME	***	Glutathione S-transferase		GO:0016740
SMED30000429			Unknown protein		
SMED30012415			Unknown protein		
SMED30012414			Unknown protein		
SMED30012417			Unknown protein		
SMED30012416	tr|B7PRG9|B7PRG9_IXOSC	***	DNA-directed RNA polymerase subunit		GO:0003676, GO:0003899, GO:0005634, GO:0005730, GO:0006351, GO:0006379, GO:0008270, GO:0016740, GO:0016779, GO:0046872
SMED30012411	tr|C1LGZ6|C1LGZ6_SCHJA	***	Tyrosine-protein kinase		GO:0000166, GO:0004672, GO:0004713, GO:0004715, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740, GO:0018108
SMED30012410			Unknown protein		
SMED30012413			Unknown protein		
SMED30012412	tr|A0A094ZIX0|A0A094ZIX0_SCHHA	***	Alpha/beta hydrolase domain-containing protein 17C		GO:0016787
SMED30000430	tr|A0A131YUS0|A0A131YUS0_RHIAP	***	Ras-related C3 botulinum toxin substrate 1		GO:0000166, GO:0003924, GO:0005525, GO:0007264
SMED30012408			Unknown protein		
SMED30012407			Unknown protein		
SMED30012409			Unknown protein		
SMED30000437			Unknown protein		
SMED30000438			Unknown protein		
SMED30000435			Unknown protein		
SMED30000436			Unknown protein		
SMED30000433			Unknown protein		
SMED30000434			Unknown protein		
SMED30000431			Unknown protein		
SMED30000432	tr|A0A2B4SZZ4|A0A2B4SZZ4_STYPI	*-*	RNA-directed DNA polymerase from mobile element jockey		GO:0003964, GO:0006278
SMED30012420			Unknown protein		
SMED30024408	tr|A0A087VX91|A0A087VX91_ECHMU	*-*	Muscleblind protein		GO:0046872
SMED30024409			Unknown protein		
